OID медицинской организации;Полное наименование медицинской организации;Наименование субъекта системы здравоохранения;Наименование региона РФ;OID структурного подразделения;Наименование структурного подразделения
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.259546;Преображеновский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.259547;Ратчинская амбулатория
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.259549;Путятинская амбулатория
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.259550;Борисовская амбулатория
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.259567;отделение скорой и неотложной медицинской помощи
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.265691;Каликинская участковая больница стационар
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.296161;Отделение общей врачебной практики (семейной медицины) с.Панино
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.344602;дневной стационар
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.359539;стационар
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.360471;Детская поликлинника
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.361206;Хирургическое отделение
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.361211;терапевтическое отделение
1.2.643.5.1.13.13.12.2.48.4552;Государственное учреждение здравоохранения «Добровская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4552.0.410761;лаборатория
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326452;Поликлиника
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326457;Отделение скорой медицинской помощи
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326527;Стационар
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326528;Турчановский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326532;Юрской фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326539;Отделение общей врачебной практики (семейной медицины) с. Набережное
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326551;Дневной стационар для взрослых
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326570;Отделение общей врачебной практики (семейной медицины) с. Гатище
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326571;Большовский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326574;Ожогинский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326576;Старо-Панинский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326578;Захаровский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326579;Александровский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326581;Семеновский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.326582;Воловчинский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327641;Вышне-Большовский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327654;Нижне-Большовский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327658;Замарайский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327700;Ломигорский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327722;Предтечевский фельдшерско акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327728;Чесноченский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327732;Димитровский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327735;Пикаловский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327736;Липовский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327739;Новопавловский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327758;Васильевский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327759;Спасский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327760;Ефимовский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.327762;Больше-Ивановский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.359554;Детское поликлиническое отделение
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.360443;Дневной стационар для детей
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.361253;Хирургическое отделение
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.361258;Терапевтическое отделение
1.2.643.5.1.13.13.12.2.48.11267;Государственное учреждение здравоохранения «Воловская районная больница»;Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.11267.0.410302;Клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.219031;Отделение анестезиологии-реанимации
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.226253;Терапевтическое отделение
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.226288;Елецко-Лозовское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260581;Верхне-Колыбельский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260711;Поликлиника
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260761;Здравпункт ГБОУ СПО "Аграрный техникум Конь-Колодезский"
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260762;Здравпункт МБОУ лицей Хлевенского муниципального района
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260765;Ново-Дубовская амбулатория
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260766;Елец-Маланинский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260767;Воробьевский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260768;Малининский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260770;Круглянский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260771;Ворон-Лозовский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260772;Муравьевский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260773;Фомино-Негачевский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260774;Введенский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260775;Доно-Негачевский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260776;Отскоченский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260778;Нижне-Колыбельский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260780;Мало-Мечковский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260781;Крещенский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260783;Синдякинский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.260790;Вертяченский фельдшерско-акушерский пункт
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.263237;Отделение скорой медицинской помощи
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.281816;Детское поликлиническое отделение
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.315782;Отделение общей врачебной практики (семейной медицины) Липецкая область, Хлевенский район, с. Конь-Колодезь, ул. Ленина, д.155а
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.343385;Дневной стационар
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.360650;Стационар
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.361260;Хирургическое отделение
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.361263;Акушерско-обсервационное отделение
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.361314;Отделение сестринского ухода
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.369762;Стоматологическое отделение
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.410461;Клинико-диагностическая лаборатория
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.410555;Отделение лучевой диагностики
1.2.643.5.1.13.13.12.2.48.4530;Государственное учреждение здравоохранения "Хлевенская районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4530.0.410562;Бактериологическая лаборатория
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205274;Поликлиника
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205278;Здравпункт Г (О) БОУ НПО Профессиональное училище №32
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205302;Пластинское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205303;Грачевское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205304;Поддубровское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205305;Никольское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205306;Крутче-Байгорское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205307;Куликовское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.205308;Дрязгинское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.206721;Женская консультация
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.206722;Детская поликлиника
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219702;Фельдшерско-акушерской помощи пункт, подразделение Новоуглянский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219703;Фельдшерско-акушерской помощи пункт, подразделение Демшинский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219704;Фельдшерско-акушерской помощи пункт, подразделение Завальновский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219705;Фельдшерско-акушерской помощи пункт, подразделение Краснопольский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219706;Фельдшерско-акушерской помощи пункт, подразделение Сторожевской
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219707;Фельдшерско-акушерской помощи пункт, подразделение Красненский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219708;Фельдшерско-акушерской пункт "Коммунар"
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219709;Фельдшерско-акушерской помощи пункт, подразделение "Усманский"
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219710;Фельдшерско-акушерской помощи пункт, подразделение Аксайский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219711;Фельдшерско-акушерской помощи пункт, подразделение Кривский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219712;Фельдшерско-акушерской помощи пункт, подразделение Березняговский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219713;Фельдшерско-акушерской помощи пункт, подразделение Студено-Высельский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219714;Фельдшерско-акушерской помощи пункт, подразделение Излегощенский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219715;Фельдшерско-акушерской помощи пункт, подразделение Верхне-Мосоловский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219716;Фельдшерско-акушерской помощи пункт, подразделение Стор-Хуторской
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219717;Фельдшерско-акушерской помощи пункт, подразделение Дмитриевский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219718;Фельдшерско-акушерской помощи пункт, подразделение Пушкарский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219719;Фельдшерско-акушерской помощи пункт, подразделение Пашковский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219720;Фельдшерско-акушерской пункт Савицкий
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219721;Фельдшерско-акушерской помощи пункт, подразделение "Куликовский лесхоз"
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219722;Фельдшерско-акушерской помощи пункт, подразделение Студенский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219723;Фельдшерско-акушерской помощи пункт, подразделение Беляевский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219735;Отделения анестезиологии-реанимации
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.219744;Фельдшерско-акушерской помощи пункт, подразделение Медовский
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.226372;Октябрьское отделение общей врачебной практики (семейной медицины)
1.2.643.5.1.13.13.12.2.48.4564;Государственное учреждение здравоохранения "Усманская центральная районная больница";Медицинская организация;Липецкая область;1.2.643.5.1.13.13.12.2.48.4564.0.226373;Бреславское отделение общей врачебной практики (семейной медицины)
